Medicine,"Learn about the opioid epidemic in the US, including information about treatment and recovery from opioid addiction.",OpioidX: The Opioid Crisis in America,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+HHP100
Social Sciences,"A comprehensive introduction to American government and politics—its foundations, institutions, organizations, and policies.",American Government,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+HKS101A
Medicine,An introduction to the study of bioethics and the application of legal and ethical reasoning.,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+HLS4X
Humanities,"Embark on a global journey to explore the past, present, and future of World Literature.",Masterpieces of World Literature,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+HUM12x
Humanities,.,Hamlet's Ghost,Harvard University,,49.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+Hum3.1x
Humanities,An exploration of the magnetic and ambivalent character of Shylock in William Shakespeare’s The Merchant of Venice.,Shylock’s Bond,Harvard University,,49.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+Hum3.2x
Computer Science,Gain entry-level skills and knowledge in Java fundamentals and an intro to Android Studio for a strong foundation in Android Apps.,Java Fundamentals for Android Development,Galileo University,,200.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CAAD001X
Computer Science,Learn the Android app development process from Google experts.,Android App Development for Beginners,Galileo University,,200.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CAAD002X
Computer Science,Google Developer Experts show you how to become a Professional Android App Developer.,Professional Android App Development,Galileo University,,200.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CAAD003X
Computer Science,Demonstrate and implement the knowledge and skills acquired in the Android Developer MicroMasters Program.,Capstone Project,Galileo University,,200.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CAAD005X
Education & Teacher Training,Diseña experiencias de aprendizaje significativas orientadas a entornos de enseñanza virtual.,Aprendizaje y Enseñanza Virtual,Galileo University,,200.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CET001X
Computer Science,Learn the basics of mobile application development using Android as the platform.,Introduction to Mobile Application Development using Android,Hong Kong University of Science and Technology,,99.00 USD,https://www.edx.org/school/hkustx,None,HKUSTx+COMP107x
Humanities,"Explore globalization through Hong Kong film classics of Bruce Lee, Jackie Chan, and Maggie Cheung, among others.",Hong Kong Cinema Through a Global Lens,University of Hong Kong,,50.00 USD,https://www.edx.org/school/hkux,None,HKUx+HKU06.1x
Business & Management,"La gestión para resultados en los gobiernos subnacionales de América Latina y el Caribe, su situación actual y sus principales desafíos.",Introducción a la Gestión para Resultados en el Desarrollo,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB1x
Business & Management,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed?",ContractsX 2016,Harvard University,,125.00 USD,https://www.edx.org/school/harvardx,None,Harvardx+HLS2X
Medicine,.,Principles of Biochemistry,Harvard University,,199.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+MCB63X
Biology & Life Sciences,"How can we eradicate malaria? Explore cutting-edge science and technology, and examine policies needed, to control and eliminate malaria.",MalariaX: Defeating Malaria From the Genes to the Globe,Harvard University,,49.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH425x
Data Analysis & Statistics,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,Statistics and R,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.1x
Data Analysis & Statistics,Learn to use R programming to apply linear models to analyze data in life sciences.,Introduction to Linear Models and Matrix Algebra,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.2x
Data Analysis & Statistics,A focus on the techniques commonly used to perform statistical inference on high throughput data.,Statistical Inference and Modeling for High-throughput Experiments,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.3x
Computer Science,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,Using Python for Research,Harvard University,,49.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH526x
Social Sciences,.,Improving Global Health: Focusing on Quality and Safety,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH555x
None,None,not in use Saving Schools,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+1368x
Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,Introduction to Computer Science,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+CS50x
Data Analysis & Statistics,Learn about statistical methods used to identify genetic variants responsible for phenotypes.,Introduction to Statistical Methods of Gene Mapping,Kyoto University,,49.00 USD,https://www.edx.org/school/kyotoux,None,KyotoUx+005x
Computer Science,.,Paradigms of Computer Programming - Fundamentals,Université catholique de Louvain,,50.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv1.1x
Computer Science,"This course covers data abstraction, state, and deterministic dataflow in a unified framework with practical code exercises.",Paradigms of Computer Programming - Abstraction and Concurrency,Université catholique de Louvain,,50.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv1.2x
Humanities,Part 9 explores the Maoist period of China.,China Part 9: Communist Liberations,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.9x
Business & Management,Explore how entrepreneurship and innovation tackle complex social problems in emerging economies.,Entrepreneurship in Emerging Economies,Harvard University,,125.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW47x
Communication,Learn how to successfully ace your job interviews to get promotions and secure a new job.,English at Work in Asia: Job Interviews,The Hong Kong Polytechnic University,,50.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+EWA1.2x
Philosophy & Ethics,"Unravel the mysteries and the meanings of life and death from the interdisciplinary (scientific, religious and philosophical) and the int...",Life and Death: Mysteries and Meanings,The Hong Kong Polytechnic University,,50.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+Lifedeath101x
Computer Science,The first MOOC to teach the fundamental elements of Java programming and data abstraction.,Introduction to Java Programming - Part 2,Hong Kong University of Science and Technology,,99.00 USD,https://www.edx.org/school/hkustx,None,HKUSTx+COMP102.2x
History,Part 2 covers the period from the Qin to the Sui.,ChinaX Part 2: The Creation and End of a Centralized Empire,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.2x
Art & Culture,Part 3 explores the reunification of China under Tang.,ChinaX Part 3: Cosmopolitan Tang: Aristocratic Culture,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.3x
Art & Culture,Part 4 takes us from the early imperial period to the late imperial period.,ChinaX Part 4: Literati China: Examinations and Neo-Confucianism,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.4x
History,Part 5 explores the impact of the conquest dynasties and the world of the Ming.,ChinaX Part 5: From Global Empire under the Mongols to a Global Economy under the Ming Dynasty,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.5x
Humanities,"Part 7 includes an overview of modern Chinese history, then covers the fall of the Qing dynasty and the end of imperial China.","ChinaX Part 7: Invasions, Rebellions, and the End of Imperial China",Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.7x
Humanities,Part 8 explores the birth of modern China.,ChinaX Part 8: Creating Modern China: The Birth of a Nation,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.8x
Medicine,Explore the structure of the human body through a real life case scenario of stroke from six healthcare professional perspectives.,Human Anatomy,The Hong Kong Polytechnic University,,50.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+ANA101x
History,An in-depth look at the 1854 London cholera epidemic in Soho and its importance for the field of epidemiology.,Mini-Course: John Snow and the Cholera Outbreak of 1854,Harvard University,,25.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SOC1.jsx
Physics,Top chefs and Harvard researchers explore how everyday cooking and haute cuisine techniques illuminate scientific principles in physics...,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 2),Harvard University,,75.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SPU27.2x
Physics,.,Science & Cooking: From Haute Cuisine to Soft Matter Science,Harvard University,,75.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SPU27x
Physics,.,Super-Earths and Life,Harvard University,,49.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SPU30x
Humanities,Part 10 covers the period from Deng Xiaoping to the present.,"China Part 10: Greater China Today: The People's  Republic, Taiwan, and Hong Kong",Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.10x
Humanities,.,ChinaX Part 1: Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.1x
History,Part 6 covers the Manchus and the Qing dynasty.,ChinaX Part 6: The Manchus and the Qing,Harvard University,,90.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+SW12.6x
Business & Management,"Learn how a manager or CEO develops a business strategy, including analyzing the market and creating competitive advantage.",Strategic Management,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+ST101x
Computer Science,Learn basic computer programming skills and master the art of writing C/C++ programs to solve real world problems.,Programming Basics,IITBombay,,49.00 USD,https://www.edx.org/school/iitbombayx,None,IITBombayX+CS101.1x
Computer Science,Learn the principles of programming for building large and extensible systems.,Object-Oriented Programming,IITBombay,,49.00 USD,https://www.edx.org/school/iitbombayx,None,IITBombayX+CS101.2x
Business & Management,An introduction to financial and management accounting skills.,Accounting Essentials for MBA Success,Imperial College Business School,,79.00 USD,https://www.edx.org/school/imperialbusinessx,None,ImperialBusinessX+ICBS001
Business & Management,Understand essential human resources concepts and theories and analyze contemporary issues in the management of human capital.,Managing Human Resources in the Hospitality and Tourism Industry,The Hong Kong Polytechnic University,,150.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+HTM533x
Business & Management,Learn the latest principles and theories in marketing and how to apply them to the hospitality and tourism industry.,Managing Marketing in the Hospitality and Tourism Industry,The Hong Kong Polytechnic University,,150.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+HTM534x
Business & Management,Understand the power of a luxury brand and gain the business skills needed to provide premium goods and services within the hotel...,Luxury Management,The Hong Kong Polytechnic University,,150.00 USD,https://www.edx.org/school/hkpolyux,None,HKPolyUx+HTM541x
Business & Management,"Este curso, impartido en español, presenta los desafíos sectoriales.",Liderando el Desarrollo Sostenible de las Ciudades,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB4x
Business & Management,.,Gestión de Proyectos de Desarrollo,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB6x
Social Sciences,.,Desarrollo Urbano y Vivienda,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB7x
Computer Science,Learn the fundamentals of enterprise data storage.,Introduction to Data Storage and Management Technologies,IEEE,,49.00 USD,https://www.edx.org/school/ieeex,None,IEEEx+Storage101x
Business & Management,An introduction to Microeconomics and its impact on managerial decision making in today’s business world.,Introduction to Managerial Economics,"Indian Institute of Management, Bangalore",,25.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+ES101x
Business & Management,"Learn the ideas, concepts and tools managers use to make the right financial decisions.",Corporate Finance,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+FC101x
Business & Management,Learn human resources best practices to enhance your business culture and be an effective people manager.,People Management for Entrepreneurs,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+HR102x
Business & Management,.,Innovation and Information Technology Management,"Indian Institute of Management, Bangalore",,25.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+IS110x
Business & Management,Learn how to effectively apply marketing management theories and practices through real-world business scenarios.,Marketing Management,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+MK102x
Business & Management,"Understand key aspects of business operations and lean management including capacity, productivity, quality, and supply chain.",Operations Management,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+OM101.1x
Business & Management,Learn project management best practices to promote economic and social development in Latin America and the Caribbean.,Project Management Techniques for Development Professionals,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB6.1x
Computer Science,The course will help students gain an in-depth understanding of distributed algorithms to build reliable and scalable distributed services.,Reliable Distributed Algorithms - Part 2,KTH Royal Institute of Technology,,49.00 USD,https://www.edx.org/school/kthx,None,KTHx+ID2203.2x
Engineering,Explore rocket science from ancient Chinese weaponry to NASA’s race to get a man on the moon.,"From Goddard to Apollo: The History of Rockets, Part 1",IEEE,,50.00 USD,https://www.edx.org/school/ieeex,None,IEEEx+ATG1.x
Business & Management,Learn how technical standards are key to product innovation and business success.,Innovation and Competition: Succeeding through Global Standards,IEEE,,50.00 USD,https://www.edx.org/school/ieeex,None,IEEEx+Standards01.x
Business & Management,Learn to be a better manager by developing leadership and communication skills designed to turn first time managers into great team leaders.,People Management,"Indian Institute of Management, Bangalore",,150.00 USD,https://www.edx.org/school/iimbx,None,IIMBx+HR101x
Business & Management,"Este curso te ayudará a tomar el control sobre los datos, a darles sentido y, de esta manera, usarlos para mejorar tus decisiones.",Datología: La toma de decisiones basada en datos,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB10x
Data Analysis & Statistics,.,"AGRIMONITOR: Agricultural policy, food security and climate change.",Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB13.1x
Education & Teacher Training,Learn how to work with primary & secondary-level students to help them explore climate change topics through interactive activities.,Rise up:  Climate Change Education,Inter-American Development Bank,,25.00 USD,https://www.edx.org/school/idbx,None,IDBx+IDB20.1x
Humanities,Este curso le brinda a sus participantes elementos conceptuales que ofrece la neuropsicología cognitiva e histórico-cultural para ...,Aproximación Neuropsicológica de la Lecto-Escritura en la etapa escolar,The Pontificia Universidad Javeriana,,49.00 USD,https://www.edx.org/school/javerianax,None,JaverianaX+NEU2.0x
Business & Management,.,"Finanzas personales: dinero, solución o pesadilla",The Pontificia Universidad Javeriana,,49.00 USD,https://www.edx.org/school/javerianax,None,JaverianaX+PUJ.E.1601x.3
Humanities,"Este MOOC le permitirá al participante si es empleado o empleador conocer responsabilidades, deberes y derechos en...",Seguridad y Salud en el Trabajo: Un derecho fundamental,The Pontificia Universidad Javeriana,,49.00 USD,https://www.edx.org/school/javerianax,None,JaverianaX+SEGST1.0x
Humanities,Explore existential themes in your personal and professional life. Develop strengths and counseling skills.,Existential Well-being Counseling: A Person-centered Experiential Approach,KU Leuven University,,49.00 USD,https://www.edx.org/school/kuleuvenx,None,KULeuvenX+EWBCx
Computer Science,Learn how unified modeling language (UML) class diagrams are created and used to visualize and conceptualize the design of a system.,UML Class Diagrams for Software Engineering,KU Leuven University,,49.00 USD,https://www.edx.org/school/kuleuvenx,None,KULeuvenX+UMLx
Biology & Life Sciences,.,The Chemistry of Life,Kyoto University,,49.00 USD,https://www.edx.org/school/kyotoux,None,KyotoUx+001x
Humanities,.,Culture of Services: New Perspective on Customer Relations,Kyoto University,,49.00 USD,https://www.edx.org/school/kyotoux,None,KyotoUx+002x
Medicine,.,Ethics in Life Sciences and Healthcare: Exploring Bioethics through Manga,Kyoto University,,49.00 USD,https://www.edx.org/school/kyotoux,None,KyotoX+006x
Computer Science,Never learned Linux? Want a refresh? Take this course free or get a verified certificate for $99!,Introduction to Linux,The Linux Foundation,,99.00 USD,https://www.edx.org/school/linuxfoundationx,None,LinuxFoundationX+LFS101x
Computer Science,Unlock the power of big data with an overview of Apache Hadoop and get hands-on practice setting up your own Hadoop instance.,Introduction to Apache Hadoop,The Linux Foundation,,99.00 USD,https://www.edx.org/school/linuxfoundationx,None,LinuxFoundationX+LFS103x
Computer Science,"Learn Power BI, a powerful cloud-based service that helps data scientists visualize and share insights from their data.",Analyzing and Visualizing Data with Power BI,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT207x
Computer Science,"The ability to analyze data with Python is critical in data science. Learn the basics, and move on to create stunning visualizations.",Introduction to Python for Data Science,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT208x
Humanities,Advance your Mandarin Chinese by tackling different topics in dynamic scenarios with extensive vocabulary and compound sentence structures.,Basic Mandarin Chinese – Level 3,MandarinX,,49.00 USD,https://www.edx.org/school/mandarinx,None,MandarinX+MX103x
Humanities,Learn common Mandarin Chinese business phrases and understand Chinese culture.,Mandarin Chinese for Business,MandarinX,,49.00 USD,https://www.edx.org/school/mandarinx,None,MandarinX+MX801x
Humanities,Learn why knowledge management is so vital to keeping nuclear power operations running safely and efficiently.,Knowledge Management in Nuclear Energy Organizations,National Research Nuclear University,,49.00 USD,https://www.edx.org/school/mephix,None,MEPhIx+MEPHI002x
Physics,Explore the universe through physics from the smallest micro particle to the vastness of galaxies.,From Atoms to Stars: How Physics Explains our World,National Research Nuclear University,,49.00 USD,https://www.edx.org/school/mephix,None,MEPhIx+MEPHI003x
Engineering,Become familiar with nuclear reactor physics and understand what happens in the nuclear reactor core.,Nuclear Reactor Physics Basics,National Research Nuclear University,,49.00 USD,https://www.edx.org/school/mephix,None,MEPhIx+MEPHI005x
Business & Management,Learn about the structure and design of global financial markets and institutions such as banks and credit rating agencies.,Financial Institutions and Markets,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+FIN403x
Social Sciences,"A flexible, collaborative introduction to learning analytics in higher education.",Practical Learning Analytics,The University of Michigan,,49.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+PLAx
Computer Science,Learn about human behavior and capabilities and how they impact user experience design.,Principles of Designing for Humans,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UX3
Computer Science,Learn how UX research and design techniques can help you better understand user needs and create a great user experience.,Introduction to User Experience,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UX501x
Engineering,Learn the principles of vacuum systems and their applications in modern technologies.,Vacuum Systems and Technology,National Research Nuclear University,,49.00 USD,https://www.edx.org/school/mephix,None,MEPhIx+MEPHI004x
Engineering,Discover contemporary surface analysis techniques and learn how to choose the right method for your research.,Methods of Surface Analysis,National Research Nuclear University,,49.00 USD,https://www.edx.org/school/mephix,None,MEPhIx+MEPHI006x
Business & Management,Learn how firms raise funds to finance their business.,Corporate Financial Policy,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+FIN404x
Computer Science,"Learn how to design, run, and analyze usability tests to help improve user experience.",Evaluating Designs with Users,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UX504x
Computer Science,Take a UX design project from an initial sketch and develop it into a wireframe.,UX Design: From Concept to Wireframe,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UXD5
Computer Science,Learn about the UX design process by taking a UX design project from wireframes to a design specification document.,UX Design: From Wireframe to Prototype,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UXD6
Computer Science,Learn how to conduct and analyze UX research at scale using online tools such as A/B testing and web analytics.,UX Research at Scale: Analytics and Online Experiments,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UXR6
Computer Science,"Learn how to plan, configure and manage Active Directory infrastructure requirements for Microsoft Exchange Server 2016.",Microsoft Exchange Server 2016 Infrastructure,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD208.1x
Computer Science,"Learn how to plan and configure mailbox databases, including backup, recovery and restoration.",Microsoft Exchange Server 2016 Mailbox Databases,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD208.3x
Computer Science,"Learn how to plan and configure message transport services, including antivirus, malware and spam-filtering solutions.",Microsoft Exchange Server 2016 Transport Services,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD208.4x
Computer Science,Learn how to plan and configure the infrastructure requirements for SharePoint Server 2016.,Microsoft SharePoint 2016: Infrastructure,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD211.1x
Computer Science,.,Microsoft SharePoint 2016: Authentication and Security,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD211.2x
Computer Science,.,Microsoft SharePoint 2016: Workload Optimization,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD211.3x
Computer Science,.,Microsoft SharePoint 2016: Productivity Solutions,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD211.4x
Computer Science,Learn how to establish search and provide the best user experience for discovering content with SharePoint Server 2016.,Microsoft SharePoint 2016: Search and Content Management,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD211.5x
Computer Science,"Learn how to successfully plan and design your own projects using Microsoft Project, the go to app for project managers.",Managing Projects with Microsoft Project,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD213x
Computer Science,Use Microsoft Project Portfolio Management (PPM) to successfully manage and align project portfolios with your business needs.,Managing Projects & Portfolios with Microsoft PPM,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD215x
Computer Science,Learn the skills to implement and administer a SharePoint Online solution for your organization or clients.,Microsoft SharePoint Online Administration for the IT Professional,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD216x
Computer Science,Learn how to plan and deploy Microsoft Office 365 ProPlus to enable Office 365 on multiple devices.,Enabling Office 365 Clients,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD221x
Computer Science,Learn how to manage and configure Exchange Online in Office 365.,Managing Exchange Online in Office 365,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD222x
Computer Science,Learn how to move your messaging system to Office 365 and how you can interact with the Microsoft FastTrack Center.,Onboarding Messaging to Office 365,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD223x
Computer Science,"Learn how to plan, design and install Skype for Business server components.",Skype for Business: Infrastructure Planning and Design,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD230x
Computer Science,This course focuses on how to plan and deploy conferencing in Skype for Business 2015 Server,Skype for Business: Infrastructure Implementation and Conferencing,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD231x
Computer Science,Learn to plan and deploy voice capabilities with Cloud PBX in the first of a series of Skype for Business Voice courses.,Skype for Business: Voice Concepts and Planning,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD233x
Computer Science,Learn how to plan and deploy Enterprise Voice with Skype for Business Server 2015.,Skype for Business: Voice Advanced Workloads,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD235x
Computer Science,"Learn to make smart decisions about which cloud services and applications to use directly from Linux Foundation, the leader in Open Source.",Introduction to Cloud Infrastructure Technologies,The Linux Foundation,,99.00 USD,https://www.edx.org/school/linuxfoundationx,None,LinuxFoundationX+LFS151.x
Computer Science,"Get an in-depth primer on OpenStack, the leading cloud computing platform for private clouds, directly from The Linux Foundation...",Introduction to OpenStack,The Linux Foundation,,99.00 USD,https://www.edx.org/school/linuxfoundationx,None,LinuxFoundationX+LFS152x
Computer Science,Learn how to transform your organization using the principles and practices of DevOps.,Introduction to DevOps: Transforming and Improving Operations,The Linux Foundation,,99.00 USD,https://www.edx.org/school/linuxfoundationx,None,LinuxFoundationX+LFS161x
Business & Management,Maîtrisez des outils et méthodes d’analyse pour prendre des décisions réfléchies et cohérentes favorables à la réussite ...,Les fondements de la stratégie d’entreprise,Université catholique de Louvain,,150.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv10x
Business & Management,"Décoder les logiques du marketing au travers des actions marketing: le produit, le prix, la distribution et la communication (les « 4P »)",Découvrir le marketing,Université catholique de Louvain,,150.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv11x
Social Sciences,.,Découvrir la science politique - Light Edition,Université catholique de Louvain,,50.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv3x
Communication,Plongez au cœur des mécanismes psychologiques qui entrent en jeu dans les situations de négociation.,Psychologie de la négociation,Université catholique de Louvain,,150.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv7x
Medicine,"Learn about respiration and the function of the lungs, oxygen and CO₂ in the body from medical experts.",Respiration in the Human Body,Université catholique de Louvain,,50.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv8x
Business & Management,S’équiper de la boite à outils du financier pour prendre des décisions judicieuses d’investissement ou d’épargne.,Les principes de la finance,Université catholique de Louvain,,150.00 USD,https://www.edx.org/school/louvainx,None,LouvainX+Louv9x
Humanities,Take the first step towards learning Mandarin Chinese.,Chinese Language: Learn Basic Mandarin,MandarinX,,49.00 USD,https://www.edx.org/school/mandarinx,None,MandarinX+MX101x
Computer Science,"Learn how to conduct effective user research to better understand what users love, hate, want and need.",Understanding User Needs,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UX2
Computer Science,Use the skills and knowledge gained through the UX Research and Design MicroMasters Program to design a complete UX project.,UX (User Experience) Capstone,The University of Michigan,,249.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UX509x
Computer Science,Learn how to use UX surveys to gain insights into user needs and attitudes toward system designs.,UX Research Surveys,The University of Michigan,,99.00 USD,https://www.edx.org/school/michiganx,None,MichiganX+UXR5
Computer Science,Learn the steps required to properly plan and configure the provisioning of an Office 365 tenant.,Provisioning Office 365 Services,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD220x
Computer Science,Learn how to plan and deploy voice technologies with Skype for Business Online and Cloud PBX.,Skype for Business: Voice Hybrid and Routing,Microsoft,,49.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+CLD234x
Computer Science,"From querying and modifying data in SQL Server or Azure SQL to programming with Transact-SQL, learn essential skills that employers need.",Querying with Transact-SQL,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT201x
Computer Science,Learn how to use Hadoop technologies in Microsoft Azure HDInsight to process big data.,Processing Big Data with Hadoop in Azure HDInsight,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT202.1x
Computer Science,Learn how to use Hadoop technologies to create real-time analytical solutions.,Implementing Real-Time Analytics with Hadoop in Azure HDInsight,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT202.2x
Computer Science,"Explore data visualization and exploration concepts with experts from MIT and Microsoft, and get an introduction to machine learning.",Data Science Essentials,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT203.1x
Data Analysis & Statistics,データを収集、変換、分析、可視化するために、データ・サイエンティストがよく使う一般的なツールの1つ、Excel であなたのスキルを磨きましょう。,Excel を使用したデータの分析と視覚化,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT206x-JPN
Computer Science,"Traverse the data analysis pipeline using advanced visualizations in Python, and make machine learning start working for you.",Programming with Python for Data Science,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT210x
Computer Science,Learn how to create intelligent apps using Cortana and Microsoft Azure machine learning.,Developing Intelligent Apps,Microsoft,,99.00 USD,https://www.edx.org/school/microsoft,None,Microsoft+DAT211x
